stop_id,stop_name,latitude,longitude
3843049040,BD. Houphout Boigny,37.18503578,6.285369929
3843049043,Place Marchal(Terminus),37.18038909,6.280897986
3843049046,Colis Postaux,37.18297018,6.291007619
3843049050,Souk Salam,37.16960376,6.343858961
3843049055,Lalla Assma 1,37.16304058,6.353448656
3843069858,Pharmacie Ibn Zohr,37.14055627,6.327562624
3843069866,Belrhazidecor,37.11926055,6.306416658
3843069867,Caf Mesk Lil,37.12554529,6.304836223
3843069868,Caf Mesk Lil,37.12534428,6.304660832
3843069879,Renault Moulay Youssef,37.18609481,6.269032989
3946728162,Colis Postaux,37.18322263,6.291060004
3976720779,Rond-Point De Dakar,37.17559901,6.296207984
4000749319,Acima Ibn Tachfine,37.16974336,6.32485495
4107749400,Mosque Afghanistan,37.15562816,6.231082367
4156548980,CF El Hank,37.1905617,6.251860529
4205738939,Commune Sidi Belyout,37.18132878,6.27471273
4208136041,March Ain Choc,37.12848179,6.302388107
4211146981,Morgue Ain Chok,37.13746548,6.306312262
4213171033,Complexe Mohammed V,37.16572856,6.256622735
4213171046,Terminus Kasbat Al Amine,37.11206889,6.221010081
4214020105,English-School,37.20424605,6.361568243
4215582514,Hay Mbarka,37.20499376,6.388155564
4220503316,Watania Assurance,37.13244211,6.328266486
4225391864,Kodia,37.17167014,6.339202359
4227487109,Cinma Rif,37.18286497,6.284292507
4229177293,cole Le Pont,37.12891835,6.273915876
4244309716,Derb Ghalef  ,37.15322826,6.26998994
4244309717,Derb Ghalef  ,37.15325182,6.270010796
4305395293,Gare Routire Ouled Ziane,37.15867381,6.314017596
4338785049,Infirmier Bouafi,37.13232709,6.31800656
4360005391,2 Mars,37.15242132,6.287617599
4467374289,Ouad Dahab,37.1216264,6.324800313
4580339909,Moutana Ibn Harita,37.19363273,6.382777273
4584731726,Centre Sant Tacha,37.15761791,6.361772713
4591181359,Place Mohammed V,37.17508422,6.280578514
4591435479,Attacharouk,37.15909557,6.369583682
4592227165,Centre de Maintenance,37.16523856,6.379907855
4592227166,Ennassim,37.17127971,6.387609788
4592227167,Hpital Sidi Moumen,37.16190397,6.375665551
4592227168,Mohamed Zefzaf,37.16844015,6.383988778
4760867683,Tribunal in Sba,37.18709421,6.363006506
4986938779,Mosque Doha,37.15339789,6.266151498
4986938780,Mosque Doha,37.153509,6.265948765
4986977260,Usine de Th,37.1895999,6.376703877
4986977973,Rsidence Al Otour,37.18484612,6.387153983
4986996083,Brasseries du Maroc,37.18228577,6.38341494
4986999392,Carr. raib,37.16757099,6.360525202
4986999393,Mosque Abir,37.1681585,6.357123198
4987001404,Adarissa,37.16532034,6.352870714
4987001405,Adarissa,37.16545639,6.352750441
4987006317,Caf Britchia,37.16154058,6.348865136
4987010235,Ifiam,37.15695549,6.342183882
4987023266,Oriflam Joulan,37.13252027,6.329268392
4987023267,Oriflam Joulan,37.13269579,6.329418165
4987027260,Tribunal Administratif,37.14292587,6.330741242
4987027261,Kora Sebata,37.13454016,6.327958299
4987031823,Complexe K. Zebdi,37.13925759,6.32583434
4987050039,Caf Charles Dgo,37.12477215,6.329140835
4987050040,Caf Charles Dgo,37.12492025,6.329039421
4987053806,Caf Arabia,37.1197581,6.321959986
4987053807,Caf Arabia,37.1196009,6.322045359
4987058397,Stade Tissima,37.12588559,6.335059282
4987077824,Rsidence Bouaarfa,37.18728096,6.265388864
4987087174,Maison des Jeunes Zerktouni,37.18633829,6.262632917
4987087175,Maison des Jeunes Zerktouni,37.18638993,6.262925779
4987087177,Parc le Lac,37.18928166,6.265499943
4987092872,Prfecture Police An Chock,37.12183408,6.305495015
4987092873,Prfecture Police An Chock,37.12161871,6.305568517
4987950245,Pharmacie Diouri,37.15379435,6.298054974
4987950246,Pharmacie Diouri,37.15361702,6.298186692
4987950247,Place Sraghna,37.15300998,6.298371096
4987950248,Place Sraghna,37.15260399,6.298176045
4988181785,Terminus Sidi Marouf,37.08370371,6.246878449
5004949327,Derb Bouchentouf,37.15202018,6.295699815
5005720475,Terminus Lissasfa ,37.10972821,6.231335697
5005770116,Terminus Maarif,37.16679746,6.261391855
5005981354,Place Concorde,37.18251675,6.278449612
5005991349,ANCFCC Rachidi,37.17628382,6.279134933
5006003768,CIMR,37.16600757,6.276808428
5006003769,CIMR,37.16604769,6.276589106
5006013438,Tariq Bno Zyad,37.15962518,6.275725857
5006018355,Caf La Rotonde,37.16849366,6.277741406
5006028907,CM Abdelmoumen,37.1622333,6.275769871
5006028909,Caf Flay,37.16467236,6.276152617
5006050038,Facult Mdecine,37.15986278,6.27895109
5006051428,Centre Addiction,37.16027393,6.28170121
5007203884,Pasteur,37.15780356,6.275245576
5009768968,Lyce Ghazali,37.14559813,6.294985177
5009768969,Lyce Ghazali,37.14538673,6.295016991
5009779796,Pharmacie Aicha,37.14600183,6.298325801
5009822268,Place de Sidi Marouf,37.14768063,6.295212922
5010088048,cole Normale Suprieure,37.11839665,6.242459837
5010095975,Facults - Route d'El Jadida,37.12155648,6.247822848
5011098749,Muse Alsa,37.16271292,6.26676114
5012138012,Place de la Victoire,37.17377145,6.29100287
5022567358,BIM Roudani,37.17002643,6.27146145
5022567359,BIM Roudani,37.17015716,6.271325315
5022604119,Rond Point Mermoz,37.17470109,6.274726604
5022604120,Eaux et Forts,37.17323585,6.273915786
5022636124,Htel Mouahidin,37.17947016,6.278051342
5024337722,BD. Houphout Boigny,37.18528849,6.285226037
5025784658,Al Wattassine,37.13283526,6.203517035
5026248286,Commune Sidi Belyout,37.18116338,6.274734508
5026328996,Angle Dakhla/Tichka,37.11293701,6.299265251
5026765064,Caf Grill Antik,37.11163101,6.284792825
5026765065,Caf Idouar Ice,37.11318156,6.288048821
5026770802,Caf Route Andalouss,37.1100051,6.281773738
5026830842,Rsidence B. Elbaida,37.20628476,6.406728839
5026839605,Pharmacie Place Mekouar,37.20113725,6.362861096
5026842287,Pizzeria Osteria,37.20153367,6.363309053
5027061569,PTT Roudani,37.15264627,6.258876087
5027061570,PTT Roudani,37.15282938,6.258615047
5027061571,Oulmess,37.15542269,6.254897902
5027180080,Hay El Falah,37.14201287,6.345503922
5029862480,Complexe Mohammed V,37.16802768,6.253244585
5029883682,Vlodrome,37.17321857,6.257126716
5029883683,Jardin Val d'Anfa,37.17594958,6.249965449
5029883684,Clinique Val Anfa,37.17568163,6.249452701
5029883710,Rsidence Rio,37.17708379,6.260027796
5031104857,Commissariat Moulay Chrif,37.18094838,6.327091979
5031104858,Carrires Centrales,37.17891386,6.33170369
5032036981,Marjane An Sba,37.18300055,6.363728494
5032077682,Terminus Mosque Ferrara,37.13619238,6.219946979
5032109182,C.A. Tensift,37.1333841,6.220971943
5032217463,Hay Hassani,37.15515092,6.227758464
5032520810,Tariq,37.19695943,6.378187676
5033654432,Collge Meriem Fihria,37.14929129,6.300866964
5033681413,Mosque Sonna,37.14364714,6.291390111
5033681414,Lyce Moulay Abdellah,37.14434506,6.286424771
5033681415,Lyce Moulay Abdellah,37.14453079,6.286505756
5033697048,Mosque El Hoda,37.15291228,6.28836218
5033697049,Rachad,37.14957305,6.290913181
5033697050,Rachad,37.14948116,6.290702085
5033704929,Kora,37.14470005,6.301026371
5033735918,Marjane Drissia,37.14556562,6.305067496
5033735919,Marjane Drissia,37.145843,6.305149986
5033737024,Hay Idrissia,37.14934841,6.310399752
5033737025,Bd De Gaza,37.15229494,6.314164289
5033737026,Bd De Gaza,37.15250176,6.314009204
5033743741,Souk Layoun,37.14784103,6.303980424
5033743742,Souk Layoun,37.14780628,6.303732259
5033764215,Marjane Drissia M6,37.14430909,6.304259038
